Potential,Flux
10.0,-0.0007012956881879973
9.9,-0.00044136694299368173
9.8,-0.0003924527369747466
9.7,-0.000384570153499908
9.6,-0.00039326319978272295
9.5,-0.00041148973117799414
9.4,-0.00043655190573588243
9.3,-0.0004673017528489254
9.2,-0.0005032629868395588
9.1,-0.0005443157036211232
9.0,-0.0005905353983592931
8.9,-0.0006421418952129443
8.8,-0.0006994471668519964
8.7,-0.0007628475628962406
8.6,-0.0008328093770160194
8.5,-0.0009098632958171038
8.4,-0.0009946088397327912
8.3,-0.0010877110323548322
8.2,-0.0011899026208794794
8.1,-0.0013019907374456352
8.0,-0.001424856899134852
7.9,-0.0015594636693094799
7.8,-0.0017068635393968634
7.699999999999999,-0.001868198928889342
7.6,-0.0020447166182435694
7.5,-0.0022377655284344655
7.4,-0.0024488144845236093
7.3,-0.0026794511054362147
7.199999999999999,-0.0029313984573065
7.1,-0.003206519494369786
7.0,-0.003506825940746694
6.9,-0.0038344982744575873
6.8,-0.004191881286530474
6.699999999999999,-0.004581506285461501
6.6,-0.0050060944278840225
6.5,-0.005468587804813296
6.4,-0.005972129457632036
6.3,-0.00652010112567325
6.199999999999999,-0.007116133238227462
6.1,-0.0077641071349887625
6.0,-0.008468175050069249
5.8999999999999995,-0.009232777875567422
5.8,-0.010062639610453061
5.7,-0.010962812879711237
5.6,-0.011938644517428543
5.5,-0.012995834408613405
5.3999999999999995,-0.014140415505181636
5.3,-0.015378778250862979
5.199999999999999,-0.016717665030085982
5.1,-0.018164202364445714
5.0,-0.019725878708243272
4.8999999999999995,-0.021410567763169297
4.8,-0.02322652181696583
4.699999999999999,-0.025182375074095376
4.6,-0.027287151427302092
4.5,-0.02955021782824474
4.3999999999999995,-0.03198134868043212
4.3,-0.03459067032807184
4.199999999999999,-0.0373886066551421
4.1,-0.04038595458055738
4.0,-0.04359377747675808
3.8999999999999995,-0.047023448468408446
3.8,-0.050686572716784895
3.6999999999999993,-0.0545949208063945
3.5999999999999996,-0.0587605908375366
3.5,-0.0631956165175751
3.3999999999999995,-0.06791224582691768
3.3,-0.07292276560377786
3.1999999999999993,-0.07823945158413892
3.0999999999999996,-0.08387405769916256
3.0,-0.08983984889354701
2.8999999999999995,-0.09614738449847948
2.8,-0.10280881035384937
2.6999999999999993,-0.1098354263096013
2.5999999999999996,-0.11723794601792292
2.5,-0.1250269721086994
2.3999999999999995,-0.1332122734343244
2.3,-0.14180321583623368
2.1999999999999993,-0.15080823034807622
2.0999999999999996,-0.16023528059960768
2.0,-0.17009124553268862
1.9000000000000004,-0.18038153970501014
1.799999999999999,-0.19111338511734743
1.6999999999999993,-0.20228859587412273
1.5999999999999996,-0.2139109611665191
1.5,-0.2259822662331601
1.4000000000000004,-0.23850305397310478
1.299999999999999,-0.2514725239155524
1.1999999999999993,-0.2648887698075697
1.0999999999999996,-0.2787487596300764
1.0,-0.29304656257167494
0.9000000000000004,-0.3077775334592303
0.7999999999999989,-0.32293189566878766
0.6999999999999993,-0.3385023594759673
0.5999999999999996,-0.3544775228903063
0.5,-0.37084529891373563
0.3999999999999986,-0.38759175313707317
0.29999999999999893,-0.4047019486197456
0.1999999999999993,-0.42215876572271327
0.09999999999999964,-0.4399442954383659
0.0,-0.45803895010188
-0.10000000000000142,-0.4764205918661446
-0.20000000000000107,-0.49506767241247474
-0.3000000000000007,-0.513955468184335
-0.40000000000000036,-0.5330592756092045
-0.5,-0.5523517920824617
-0.6000000000000014,-0.5718054363335057
-0.7000000000000011,-0.5913902634269164
-0.8000000000000007,-0.6110760830679851
-0.9000000000000004,-0.6308323419190742
-1.0,-0.6506252625548825
-1.1000000000000014,-0.6704217248021394
-1.200000000000001,-0.6901871674180882
-1.3000000000000007,-0.7098863230581287
-1.4000000000000004,-0.7294829262871616
-1.5,-0.7489406217420225
-1.6000000000000014,-0.7682214853144131
-1.700000000000001,-0.7872884222326348
-1.8000000000000007,-0.8061027012562505
-1.9000000000000004,-0.8246260529976013
-2.0,-0.8428193420950691
-2.1000000000000014,-0.8606422174928241
-2.200000000000001,-0.8780646298944816
-2.3000000000000007,-0.8950387286876804
-2.4000000000000004,-0.9115302029849559
-2.5,-0.9275018009180513
-2.6000000000000014,-0.9429169983699026
-2.700000000000001,-0.9577401521854156
-2.8000000000000007,-0.9719368021521291
-2.9000000000000004,-0.985473744274934
-3.0,-0.9983192117424267
-3.1000000000000014,-1.0104432396351726
-3.200000000000001,-1.021817682134163
-3.3000000000000007,-1.0324165705677402
-3.4000000000000004,-1.0422163027046238
-3.5,-1.0511958392633858
