Potential,Flux
25.0,-2.970734769291994e-09
24.9,-4.897193761621565e-10
24.8,-5.047073869945962e-10
24.7,-5.450084827884893e-10
24.6,-5.669908986760674e-10
24.5,-6.044054146059352e-10
24.4,-6.463718449367661e-10
24.3,-6.928901896685602e-10
24.2,-7.468470286653428e-10
24.1,-1.0299538999447577e-09
24.0,-9.85433956657289e-10
23.9,-1.167177465788427e-09
23.8,-1.2273515537231106e-09
23.7,-1.4306333895319767e-09
23.6,-1.5262235919522027e-09
23.5,-1.7371659666309824e-09
23.4,-1.8538504065190864e-09
23.3,-2.0942136913504328e-09
23.2,-2.25208740545213e-09
23.1,-2.5121016378193417e-09
23.0,-2.804312337900683e-09
22.9,-3.110733892697226e-09
22.8,-3.429145856159721e-09
22.7,-3.7694292132073315e-09
22.6,-4.139022458105046e-09
22.5,-4.5387027469701025e-09
22.4,-5.075273534771441e-09
22.3,-5.536793246108118e-09
22.2,-6.149081244188892e-09
22.1,-6.9083627707300366e-09
22.0,-7.484235453603105e-09
21.9,-8.225531367145322e-09
21.8,-9.140133094831526e-09
21.7,-1.0113132553613013e-08
21.6,-1.1144307698884859e-08
21.5,-1.2267853399805517e-08
21.4,-1.3562928558030762e-08
21.3,-1.496047730142891e-08
21.2,-1.657041170943785e-08
21.1,-1.8285595260181253e-08
21.0,-2.0237700404379666e-08
20.9,-2.2328139337446373e-08
20.8,-2.4674817744596567e-08
20.7,-2.7185143025576508e-08
20.6,-2.998012949007034e-08
20.5,-3.321143360324186e-08
20.4,-3.665423520260447e-08
20.3,-4.0452086125242204e-08
20.2,-4.463318603598054e-08
20.1,-4.923617069607644e-08
20.0,-5.439659833683663e-08
19.9,-5.990108409292816e-08
19.8,-6.614842007479638e-08
19.7,-7.294409520852696e-08
19.6,-8.046907584713381e-08
19.5,-8.875278290076949e-08
19.4,-9.797307409797895e-08
19.3,-1.080789902019319e-07
19.2,-1.1913381392503197e-07
19.1,-1.3133893972394617e-07
19.0,-1.448628994538126e-07
18.9,-1.5961643118345137e-07
18.8,-1.759991041794251e-07
18.7,-1.9402990325545488e-07
18.6,-2.1373258718426769e-07
18.5,-2.355537986886702e-07
18.4,-2.595547110573193e-07
18.3,-2.858957515172733e-07
18.2,-3.1486857565710125e-07
18.1,-3.4668778958746316e-07
18.0,-3.8180358874484455e-07
17.9,-4.2035064318213244e-07
17.8,-4.6270776099532895e-07
17.7,-5.091889132557981e-07
17.6,-5.603422170707972e-07
17.5,-6.165472576924458e-07
17.4,-6.782056027887506e-07
17.3,-7.45982942085277e-07
17.2,-8.203925316863092e-07
17.1,-9.019565094803284e-07
17.0,-9.917242582702102e-07
16.9,-1.0900452762641066e-06
16.799999999999997,-1.1979716108001526e-06
16.7,-1.316419750985176e-06
16.6,-1.4462778752388772e-06
16.5,-1.5887459126062708e-06
16.4,-1.7450261236007236e-06
16.299999999999997,-1.916407144086918e-06
16.2,-2.1043971010215046e-06
16.1,-2.3104594903955444e-06
16.0,-2.536406751296738e-06
15.9,-2.783858588095711e-06
15.799999999999999,-3.0553036767244635e-06
15.7,-3.352869759609689e-06
15.6,-3.6789626900457506e-06
15.5,-4.036366685333803e-06
15.399999999999999,-4.428023947511406e-06
15.299999999999999,-4.857246604927923e-06
15.2,-5.327540186783608e-06
15.1,-5.842979544645743e-06
15.0,-6.4077795292050155e-06
14.899999999999999,-7.026685344690975e-06
14.799999999999999,-7.704748838932574e-06
14.7,-8.44786929299346e-06
14.6,-9.262097977469352e-06
14.5,-1.0154232343850822e-05
14.399999999999999,-1.1131665589303452e-05
14.299999999999999,-1.220258227796478e-05
14.2,-1.3375846652508017e-05
14.1,-1.4661345471012055e-05
14.0,-1.6069415686992272e-05
13.899999999999999,-1.7612047154003108e-05
13.799999999999999,-1.9301728881870872e-05
13.7,-2.1152448348438213e-05
13.6,-2.317932423778757e-05
13.5,-2.5398846692503696e-05
13.399999999999999,-2.7829216042718485e-05
13.299999999999999,-3.04901011105585e-05
13.2,-3.3402934751514124e-05
13.1,-3.659103486874926e-05
13.0,-4.007995246801954e-05
12.899999999999999,-4.3897339097043186e-05
12.799999999999999,-4.807298070730326e-05
12.7,-5.264012892247649e-05
12.6,-5.763378652101636e-05
12.5,-6.30925701683438e-05
12.399999999999999,-6.905816252178454e-05
12.299999999999999,-7.557590453455276e-05
12.2,-8.269455331610942e-05
12.1,-9.046713678184659e-05
12.0,-9.89506210302693e-05
11.899999999999999,-0.00010820680662604332
11.799999999999999,-0.00011830214985408816
11.7,-0.0001293086278053579
11.6,-0.00014130317482763388
11.5,-0.00015436891576126044
11.399999999999999,-0.00016859507767641446
11.299999999999999,-0.00018407753954452488
11.2,-0.00020091889862960954
11.1,-0.00021922943438390519
11.0,-0.00023912687974192437
10.899999999999999,-0.00026073712844354446
10.799999999999999,-0.000284194783928271
10.7,-0.00030964343333828026
10.6,-0.0003372359519415724
10.5,-0.0003671353503431618
10.399999999999999,-0.0003995148063484777
10.299999999999999,-0.0004345583544118625
10.2,-0.00047246139045498126
10.1,-0.0005134308331822268
10.0,-0.0005576861876743777
9.899999999999999,-0.0006054592670556858
9.799999999999999,-0.0006569953855395383
9.7,-0.0007125532234253384
9.6,-0.0007724060140379407
9.5,-0.0008368413461079527
9.399999999999999,-0.0009061619263839304
9.299999999999999,-0.00098068633769266
9.2,-0.0010607490504854766
9.1,-0.0011467012599464255
9.0,-0.0012389113360766757
8.899999999999999,-0.0013377654026758279
8.8,-0.0014436675103146612
8.7,-0.0015570405832443512
8.599999999999998,-0.001678326878695735
8.5,-0.001807988470492461
8.399999999999999,-0.0019465075298263912
8.3,-0.0020943876944956585
8.2,-0.0022521539391195944
8.099999999999998,-0.002420353420906629
8.0,-0.002599556355065147
7.899999999999999,-0.0027903567234588422
7.800000000000001,-0.0029933726175546127
7.699999999999999,-0.0032092474773204316
7.599999999999998,-0.0034386506136963035
7.5,-0.0036822782311096702
7.399999999999999,-0.003940854385264814
7.300000000000001,-0.00421513171577903
7.199999999999999,-0.0045058932587327405
7.099999999999998,-0.004813952075299888
7.0,-0.005140154158644883
6.899999999999999,-0.005485378288816456
6.800000000000001,-0.005850538511098513
6.699999999999999,-0.006236584579988325
6.599999999999998,-0.006644504246700045
6.5,-0.007075324372052272
6.399999999999999,-0.007530112700493419
6.300000000000001,-0.008009980108081294
6.199999999999999,-0.008516081860365787
6.099999999999998,-0.009049620010470605
6.0,-0.009611845883883419
5.899999999999999,-0.010204061525298513
5.799999999999997,-0.010827622882070287
5.699999999999999,-0.011483941858125846
5.599999999999998,-0.012174489256833176
5.5,-0.012900797422554788
5.399999999999999,-0.013664463111684455
5.299999999999997,-0.01446715114450381
5.199999999999999,-0.0153105970677192
5.099999999999998,-0.01619661076535106
5.0,-0.01712708015644271
4.899999999999999,-0.018103974944172485
4.799999999999997,-0.01912935057568621
4.699999999999999,-0.020205352597502113
4.599999999999998,-0.02133422032357668
4.5,-0.022518292225659486
4.399999999999999,-0.02376001012727169
4.299999999999997,-0.025061924425417992
4.199999999999999,-0.026426699442527735
4.099999999999998,-0.027857118193419517
4.0,-0.02935608881593499
3.8999999999999986,-0.03092665006576567
3.799999999999997,-0.032571977981454836
3.6999999999999993,-0.034295391381000684
3.599999999999998,-0.036100359811053195
3.5,-0.037990509676011364
3.3999999999999986,-0.0399696321048415
3.299999999999997,-0.04204169015720183
3.1999999999999993,-0.044210827441992784
3.099999999999998,-0.046481375648665946
3.0,-0.048857864327178646
2.8999999999999986,-0.05134502858450407
2.799999999999997,-0.053947819856015045
2.6999999999999993,-0.05667141495246941
2.599999999999998,-0.059521226553616025
2.5,-0.06250291442244649
2.3999999999999986,-0.06562239508611789
2.299999999999997,-0.0688858555727423
2.1999999999999993,-0.07229976417755246
2.099999999999998,-0.07587088318650181
