Potential,Flux
10.0,-0.0007093359233323326
9.9,-0.0004428835076453197
9.8,-0.00039386272021602053
9.7,-0.0003861200248422847
9.6,-0.00039502401349977845
9.5,-0.0004135036757446642
9.4,-0.0004388667207422259
9.3,-0.0004699640676619765
9.2,-0.0005063272023875243
9.1,-0.0005478473230624559
9.0,-0.000594605475967569
8.9,-0.0006472022917591858
8.8,-0.0007046807581900794
8.7,-0.0007690348358124766
8.6,-0.0008399714257478763
8.5,-0.0009181344573505612
8.4,-0.0010041512066294445
8.3,-0.0010987166731979414
8.2,-0.001202592470050945
8.1,-0.0013165579737517419
8.0,-0.0014417400606703268
7.9,-0.0015788892415713462
7.8,-0.001729250076465405
7.699999999999999,-0.0018939838586362612
7.6,-0.0020744117534832185
7.5,-0.0022719537362547726
7.4,-0.0024881730009695957
7.3,-0.0027247470946178964
7.199999999999999,-0.0029835156567514787
7.1,-0.003266491521713988
7.0,-0.0035757696803528916
6.9,-0.003913783741538168
6.8,-0.004282979526593067
6.699999999999999,-0.004686177002000136
6.6,-0.005126318258774631
6.5,-0.00560661184145772
6.4,-0.0061305327481164795
6.3,-0.0067018524063655605
6.199999999999999,-0.007324495454597013
6.1,-0.00800292498936983
6.0,-0.008741776191811823
5.8999999999999995,-0.009546050616648927
5.8,-0.01042115616023409
5.7,-0.011372865982295366
5.6,-0.012407382898871333
5.5,-0.01353155698602393
5.3999999999999995,-0.014751694310533026
5.3,-0.016068050223694286
5.199999999999999,-0.01751542577643761
5.1,-0.01907194402406276
5.0,-0.020757853214092847
4.8999999999999995,-0.02258398024146402
4.8,-0.024560179445742847
4.699999999999999,-0.026696732602360385
4.6,-0.02900954920725951
4.5,-0.031496586450074915
4.3999999999999995,-0.034186213859754844
4.3,-0.037085386983548574
4.199999999999999,-0.040207984719486944
4.1,-0.04356894511836629
4.0,-0.04718327506481046
3.8999999999999995,-0.051066711970193523
3.8,-0.05523602575330244
3.6999999999999993,-0.05970680727607203
3.5999999999999996,-0.06449786038587035
3.5,-0.06962671439403323
3.3999999999999995,-0.07511117949832169
3.3,-0.08097200576706598
3.1999999999999993,-0.087221947442373
3.0999999999999996,-0.09388959054668078
3.0,-0.10099028169285873
2.8999999999999995,-0.10853921428299884
2.8,-0.11656661191850048
2.6999999999999993,-0.12507392899152592
2.5999999999999996,-0.13409731436375694
2.5,-0.1436434926560537
2.3999999999999995,-0.15375084427837749
2.3,-0.16441626171648238
2.1999999999999993,-0.17565371823735632
2.0999999999999996,-0.1874918709177109
2.0,-0.19994174094151163
1.9000000000000004,-0.2130234111330509
1.799999999999999,-0.22671947985664076
1.6999999999999993,-0.24107025820008232
1.5999999999999996,-0.25605411679840984
1.5,-0.2717306801791608
1.4000000000000004,-0.2880437999230878
1.299999999999999,-0.30506434822719086
1.1999999999999993,-0.322641835470705
1.0999999999999996,-0.3409235060924942
1.0,-0.3598410436289612
0.9000000000000004,-0.37938049479713243
0.7999999999999989,-0.3995377739762773
0.6999999999999993,-0.4202204861858405
0.5999999999999996,-0.44160977541451985
0.5,-0.4634622774446484
0.3999999999999986,-0.48581692446703073
0.29999999999999893,-0.5085586762820782
0.1999999999999993,-0.5319121887392697
0.09999999999999964,-0.555558158366054
0.0,-0.5795356017301856
-0.10000000000000142,-0.6038101174610233
-0.20000000000000107,-0.628290131032827
-0.3000000000000007,-0.6529685891987214
-0.40000000000000036,-0.6777115035827563
-0.5,-0.7025470882826568
-0.6000000000000014,-0.727329960703571
-0.7000000000000011,-0.7520288392015573
-0.8000000000000007,-0.7765326359709945
-0.9000000000000004,-0.8007852780878011
-1.0,-0.8247252059057075
-1.1000000000000014,-0.8482699465073296
-1.200000000000001,-0.8713289723072393
-1.3000000000000007,-0.8938498963217967
-1.4000000000000004,-0.9157296410045035
-1.5,-0.9369155073990498
-1.6000000000000014,-0.9573446557720189
-1.700000000000001,-0.9774362275116744
-1.8000000000000007,-0.9955632340741261
-1.9000000000000004,-1.0133242694942979
-2.0,-1.0297759539534823
-2.1000000000000014,-1.045778177388712
-2.200000000000001,-1.05967688901476
-2.3000000000000007,-1.0738597966408747
-2.4000000000000004,-1.086198961885998
-2.5,-1.097155862828103
-2.6000000000000014,-1.1070321981332398
-2.700000000000001,-1.1156960461056187
-2.8000000000000007,-1.1231472080153182
-2.9000000000000004,-1.1293862756112105
-3.0,-1.1344380401734355
-3.1000000000000014,-1.1383108428075772
-3.200000000000001,-1.1410209882489752
-3.3000000000000007,-1.1426266022240839
-3.4000000000000004,-1.1431360524838396
-3.5,-1.14261143380201
-3.6000000000000014,-1.1410879641182703
-3.700000000000001,-1.1386151407832834
-3.8000000000000007,-1.135247539862938
-3.9000000000000004,-1.131040326951549
-4.0,-1.126049828936715
