Potential,Flux
18.6,-1.6371959343786102e-08
18.58,-1.6684931214427934e-08
18.56,-1.6992185436492946e-08
18.54,-1.7346957204011915e-08
18.52,-1.7707835198166322e-08
18.5,-1.8031021120634705e-08
18.48,-1.8391121958671874e-08
18.46,-1.877398236871386e-08
18.44,-1.9164725362230683e-08
18.42,-1.9547030660760356e-08
18.4,-1.992989107080234e-08
18.38,-2.0310031434433995e-08
18.36,-2.072858551471768e-08
18.34,-2.11328177179837e-08
18.32,-2.1558199669868827e-08
18.3,-2.2014112754931148e-08
18.28,-2.2431057011829125e-08
18.26,-2.2902846286143586e-08
18.24,-2.3332558107824752e-08
18.22,-2.3801849380333806e-08
18.2,-2.4308388635319034e-08
18.18,-2.4771462658890187e-08
18.16,-2.528538489698917e-08
18.14,-2.5771496048321296e-08
18.12,-2.6294355581768514e-08
18.1,-2.6858737456336712e-08
18.08,-2.736610937859041e-08
18.06,-2.791961106751728e-08
18.04,-2.8496760506868668e-08
18.02,-2.9051372418820165e-08
18.0,-2.963501666286561e-08
17.98,-3.024347439151143e-08
17.96,-3.086270128349611e-08
17.94,-3.146088944916414e-08
17.92,-3.2103097957758564e-08
17.9,-3.275124615953473e-08
17.88,-3.3420544109930006e-08
17.86,-3.4065750220690916e-08
17.84,-3.478223264963276e-08
17.82,-3.548139559939045e-08
17.8,-3.618821908801806e-08
17.78,-3.692568473212532e-08
17.759999999999998,-3.764771827619029e-08
17.74,-3.841005291604915e-08
17.72,-3.9176328847645436e-08
17.7,-4.000272335602517e-08
17.68,-4.0794645439490296e-08
17.66,-4.1619929724845406e-08
17.64,-4.246580864730731e-08
17.62,-4.32988644938348e-08
17.6,-4.418726495813985e-08
17.58,-4.5089598721403945e-08
17.56,-4.600064773541135e-08
17.54,-4.688788246554054e-08
17.52,-4.7857995344458004e-08
17.5,-4.883132787014688e-08
17.48,-4.981121071168104e-08
17.46,-5.0796311601430943e-08
17.44,-5.183287132837222e-08
17.42,-5.290479165864781e-08
17.4,-5.396078028852003e-08
17.38,-5.504041666881676e-08
17.36,-5.6150917249198073e-08
17.34,-5.730887986388211e-08
17.32,-5.8442806150083015e-08
17.3,-5.963268767672503e-08
17.28,-6.085054682358759e-08
17.259999999999998,-6.20548057383985e-08
17.24,-6.330053148317916e-08
17.22,-6.461753354614075e-08
17.2,-6.588507517335529e-08
17.18,-6.724037993066645e-08
17.16,-6.8578254186491e-08
17.14,-6.997452617341082e-08
17.12,-7.139056013016898e-08
17.1,-7.281514280421675e-08
17.08,-7.43070049935568e-08
17.06,-7.578493388393781e-08
17.04,-7.733041984536726e-08
17.02,-7.888950603884837e-08
17.0,-8.04720734493003e-08
16.98,-8.212147628583466e-08
16.96,-8.377382121338428e-08
16.94,-8.545170127050028e-08
16.92,-8.718914479288742e-08
16.9,-8.893197289694399e-08
16.88,-9.075412643611003e-08
16.86,-9.259087940804989e-08
16.84,-9.445250137574135e-08
16.82,-9.635536812879764e-08
16.8,-9.828887703733358e-08
16.78,-1.0030443142738932e-07
16.759999999999998,-1.0230505331776385e-07
16.74,-1.0438150344072028e-07
16.72,-1.0647582815437318e-07
16.7,-1.0863798749483067e-07
16.68,-1.1083456374905154e-07
16.66,-1.1306616753969934e-07
16.64,-1.1536166466541431e-07
16.62,-1.1767714580557254e-07
16.6,-1.2007372873767963e-07
16.58,-1.2248319025687238e-07
16.56,-1.2495737777840077e-07
16.54,-1.2750128730587562e-07
16.52,-1.3006257182368586e-07
16.5,-1.326938559031987e-07
16.48,-1.3535605969394737e-07
16.46,-1.3807038845570219e-07
16.44,-1.409070637947707e-07
16.42,-1.4374273993311704e-07
16.4,-1.4665629821664083e-07
16.38,-1.4958889682503695e-07
16.36,-1.526145876340479e-07
16.34,-1.557061146684191e-07
16.32,-1.588640330396629e-07
16.3,-1.6207496456033255e-07
16.28,-1.6533940883078913e-07
16.259999999999998,-1.6865692176182279e-07
16.24,-1.7207707481148304e-07
16.22,-1.7556189835232772e-07
16.2,-1.7911078176169326e-07
16.18,-1.827322737568693e-07
16.16,-1.864308152299543e-07
16.14,-1.9016949126537952e-07
16.12,-1.9401291684317812e-07
16.1,-1.9795476369210974e-07
16.08,-2.0193013927638503e-07
16.06,-2.0601942374298687e-07
16.04,-2.1018803364469818e-07
16.02,-2.144552313509962e-07
16.0,-2.1875834477214084e-07
15.98,-2.2319157633177156e-07
15.96,-2.2767771001852566e-07
