Potential,Flux
18.28,-9.376410758932252e-08
18.26,-9.56165147059096e-08
18.24,-9.7506447360729e-08
18.22,-9.943534884371275e-08
18.2,-1.0140394079982684e-07
18.18,-1.0341288936288606e-07
18.16,-1.0546308271131011e-07
18.14,-1.0755518697891375e-07
18.12,-1.0969020136641916e-07
18.1,-1.1186912507454849e-07
18.08,-1.1409218014790667e-07
18.06,-1.1636069885412326e-07
18.04,-1.1867573590507163e-07
18.02,-1.2103779090111288e-07
18.0,-1.234484181544815e-07
17.98,-1.259078952209336e-07
17.96,-1.284174433457963e-07
17.94,-1.30978117240943e-07
17.92,-1.3359097161824707e-07
17.9,-1.3625733874533807e-07
17.88,-1.3897727413336725e-07
17.86,-1.4175322027298876e-07
17.84,-1.4458562125341246e-07
17.82,-1.4747542076420928e-07
17.8,-1.5042356249495015e-07
17.78,-1.5343182280247447e-07
17.759999999999998,-1.5650147844326057e-07
17.74,-1.5963314003997198e-07
17.72,-1.628284174159944e-07
17.7,-1.6608819874974756e-07
17.68,-1.694147044872807e-07
17.66,-1.7280837871780363e-07
17.64,-1.7627094228700457e-07
17.62,-1.7980350541790813e-07
17.6,-1.8340789997850493e-07
17.58,-1.8708551374757576e-07
17.56,-1.9083740143699401e-07
17.54,-1.9466528389244786e-07
17.52,-1.9857065991502054e-07
17.5,-2.0255552790615639e-07
17.48,-2.0662055399967016e-07
17.46,-2.1076840273082098e-07
17.44,-2.1500012881148223e-07
17.42,-2.1931706450928345e-07
17.4,-2.2372154129257638e-07
17.38,-2.2821522449589793e-07
17.36,-2.3279977945378505e-07
17.34,-2.3747703803422837e-07
17.32,-2.42248943127521e-07
17.3,-2.471174931351072e-07
17.28,-2.52084353391524e-07
17.259999999999998,-2.57152077409728e-07
17.24,-2.623216088792901e-07
17.22,-2.675960009135281e-07
17.2,-2.72977196402735e-07
17.18,-2.784666941479941e-07
17.16,-2.8406749175147183e-07
17.14,-2.8978097699194905e-07
17.12,-2.956105360496508e-07
17.1,-3.0155761221450916e-07
17.08,-3.0762514757753934e-07
17.06,-3.1381514054018567e-07
17.04,-3.20130200126556e-07
17.02,-3.265723247380947e-07
17.0,-3.331452891330855e-07
16.98,-3.3985053660146036e-07
16.96,-3.4669117576768826e-07
16.94,-3.53670759345448e-07
16.92,-3.607905640912179e-07
16.9,-3.680543647632817e-07
16.88,-3.754643818076886e-07
16.86,-3.830251116276884e-07
16.84,-3.9073710933479333e-07
16.82,-3.986057595106729e-07
16.8,-4.06632727489864e-07
16.78,-4.148225096756164e-07
16.759999999999998,-4.2317666038016455e-07
16.74,-4.317005641851779e-07
16.72,-4.4039505375792487e-07
16.7,-4.4926606879158726e-07
16.68,-4.5831571870991183e-07
16.66,-4.6754872196075326e-07
16.64,-4.769672989901608e-07
16.62,-4.865758351790817e-07
16.6,-4.963786048861607e-07
16.58,-5.06379715936589e-07
16.56,-5.165809446872061e-07
16.54,-5.269894520765206e-07
16.52,-5.376069589502208e-07
16.5,-5.484403486910594e-07
16.48,-5.594910090778171e-07
16.46,-5.707644357144659e-07
16.44,-5.82265735626919e-07
16.42,-5.939991831738212e-07
16.4,-6.059686086246074e-07
16.38,-6.181794520720985e-07
16.36,-6.306372646314173e-07
16.34,-6.433467092392675e-07
16.32,-6.563115051427815e-07
16.3,-6.695377030574434e-07
16.28,-6.830306320537716e-07
16.259999999999998,-6.967967314253087e-07
16.24,-7.108398869526411e-07
16.22,-7.25165927306648e-07
16.2,-7.39781014225116e-07
16.18,-7.546904212674121e-07
16.16,-7.699006987493817e-07
16.14,-7.854175643196015e-07
