Potential,Flux
20.0,-1.2575984698059983e-07
19.98,-6.180561618052138e-08
19.96,-4.82850981420313e-08
19.94,-4.185757296326642e-08
19.92,-3.806693849028875e-08
19.9,-3.5594915903658375e-08
19.88,-3.387912173025143e-08
19.86,-3.2652658354948016e-08
19.84,-3.175926188703215e-08
19.82,-3.1101732300697904e-08
19.8,-3.063255205049131e-08
19.78,-3.0302926834480104e-08
19.76,-3.008115978531123e-08
19.74,-2.9954372315899036e-08
19.72,-2.99028024564052e-08
19.7,-2.991618064385193e-08
19.68,-2.9987012872823016e-08
19.66,-3.0099978065578625e-08
19.64,-3.026290329444237e-08
19.62,-3.0465407974133996e-08
19.6,-3.06952241402314e-08
19.58,-3.096073397657051e-08
19.56,-3.1257052501842963e-08
19.54,-3.158223682575567e-08
19.52,-3.193023623282443e-08
19.5,-3.230243850183001e-08
19.48,-3.269989834464582e-08
19.46,-3.311662055693887e-08
19.44,-3.3564317991618964e-08
19.42,-3.402017556553005e-08
19.4,-3.449934782295827e-08
19.38,-3.500238987541593e-08
19.36,-3.552219629554543e-08
19.34,-3.6061875707815716e-08
19.32,-3.662220526834403e-08
19.3,-3.719724528394863e-08
19.28,-3.778904966722507e-08
19.26,-3.8404446289774796e-08
19.24,-3.903705136920621e-08
19.22,-3.968680939436808e-08
19.2,-4.0356440411670746e-08
19.18,-4.104144801786447e-08
19.16,-4.1749159684911774e-08
19.14,-4.24705826063132e-08
19.12,-4.321099034143572e-08
19.1,-4.3975711960797526e-08
19.08,-4.475619874710901e-08
19.06,-4.5556114436351436e-08
19.04,-4.6373016537870626e-08
19.02,-4.7214177012477876e-08
19.0,-4.807060305367372e-08
18.98,-4.89492890665133e-08
18.96,-4.9850623629055235e-08
18.94,-5.077016584920102e-08
18.92,-5.1710413728756066e-08
18.9,-5.2674198336433165e-08
18.88,-5.3655691001353034e-08
18.86,-5.466227470662943e-08
18.84,-5.5689397537861396e-08
18.82,-5.6744109411255295e-08
18.8,-5.781625178613581e-08
18.78,-5.891642729238811e-08
18.76,-6.003125774256546e-08
18.74,-6.118133777377466e-08
18.72,-6.235340022087144e-08
18.7,-6.354766712846072e-08
18.68,-6.477024472317794e-08
18.66,-6.601702517983199e-08
18.64,-6.728673174194455e-08
18.62,-6.859118828472788e-08
18.6,-6.991957013369188e-08
18.58,-7.127387569028087e-08
18.56,-7.2660377714584e-08
18.54,-7.407541247062e-08
18.52,-7.552075631522825e-08
18.5,-7.699269000127629e-08
18.48,-7.84962095323749e-08
18.46,-8.003248064269997e-08
18.44,-8.160305764448594e-08
18.42,-8.320177879994617e-08
18.4,-8.483819202709242e-08
18.38,-8.65085780787922e-08
18.36,-8.820716379531746e-08
18.34,-8.99446073177046e-08
18.32,-9.172007597868514e-08
18.3,-9.3530183598034e-08
18.28,-9.537493017575116e-08
18.26,-9.726308647373116e-08
18.24,-9.918621479698686e-08
18.22,-1.0115047688330492e-07
18.2,-1.0315459597620702e-07
18.18,-1.0520029292138133e-07
18.16,-1.0728795629688648e-07
18.14,-1.0942025063798155e-07
18.12,-1.1159390078674392e-07
18.1,-1.1380918429892972e-07
18.08,-1.160743168249212e-07
18.06,-1.1838413582765384e-07
18.04,-1.2074341526613352e-07
18.02,-1.23147048114447e-07
18.0,-1.256013626438346e-07
17.98,-1.2810491556436432e-07
17.96,-1.306607599893539e-07
17.94,-1.3327017267528163e-07
17.92,-1.3593065562034212e-07
17.9,-1.386458170493654e-07
17.88,-1.4141726678573718e-07
17.86,-1.442397312700905e-07
17.84,-1.4712431273267157e-07
17.82,-1.500734536641346e-07
17.8,-1.5306983458529544e-07
17.78,-1.561376583580909e-07
17.759999999999998,-1.5926332475046934e-07
17.74,-1.624522738552514e-07
17.72,-1.6570517180625188e-07
17.7,-1.6902823585240867e-07
17.68,-1.7241347238794447e-07
17.66,-1.7587414857800354e-07
17.64,-1.7940077201572535e-07
17.62,-1.8299611825867146e-07
17.6,-1.866705678921221e-07
17.58,-1.9041551668763645e-07
17.56,-1.9423668229379132e-07
17.54,-1.9813750640196304e-07
17.52,-2.02117600434093e-07
17.5,-2.0617385576571223e-07
17.48,-2.1031615338173992e-07
17.46,-2.1454249488073174e-07
17.44,-2.18854157019166e-07
17.42,-2.2325102877474023e-07
17.4,-2.277413813089879e-07
17.38,-2.3231616630425833e-07
17.36,-2.3699003870447655e-07
17.34,-2.4175478285926033e-07
17.32,-2.466166715286988e-07
17.3,-2.5157737004732894e-07
17.28,-2.566420409522152e-07
17.259999999999998,-2.618042449498148e-07
17.24,-2.6707291933547594e-07
17.22,-2.7244773104229125e-07
17.2,-2.779316776724272e-07
17.18,-2.835252588262449e-07
17.16,-2.892355244199507e-07
17.14,-2.9505575760424563e-07
17.12,-3.0100205661298673e-07
17.1,-3.0706182041484453e-07
17.08,-3.132468728850313e-07
17.06,-3.195543829548342e-07
17.04,-3.2599201116312315e-07
17.02,-3.3255687093003417e-07
17.0,-3.392590097739401e-07
16.98,-3.4609748400526996e-07
16.96,-3.5306896295494994e-07
16.94,-3.6018649174351935e-07
16.92,-3.6744107756447875e-07
16.9,-3.748505950085246e-07
16.88,-3.8240316468929336e-07
16.86,-3.9011022190393874e-07
16.84,-3.9797648510031536e-07
16.82,-4.060029534791454e-07
16.8,-4.141844645033643e-07
16.78,-4.225379490740977e-07
16.759999999999998,-4.310603540780278e-07
16.74,-4.3974790475687087e-07
16.72,-4.4861664383333277e-07
16.7,-4.5766646028511104e-07
16.68,-4.6689374588737564e-07
16.66,-4.763109351380024e-07
16.64,-4.859177504812351e-07
16.62,-4.957194654764407e-07
16.6,-5.057189667034834e-07
16.58,-5.159219718109398e-07
16.56,-5.263253721743411e-07
16.54,-5.369465982951738e-07
16.52,-5.47778211679173e-07
16.5,-5.588316476234922e-07
16.48,-5.701071281727366e-07
16.46,-5.816072623510138e-07
16.44,-5.933451507900145e-07
16.42,-6.0531679668685e-07
16.4,-6.175318034706834e-07
16.38,-6.299935573217397e-07
16.36,-6.427059440206051e-07
16.34,-6.556774012622668e-07
16.32,-6.6890726291291e-07
16.3,-6.82407352847747e-07
16.28,-6.961853871167989e-07
16.259999999999998,-7.102324284247175e-07
16.24,-7.245679611855849e-07
16.22,-7.391932066447282e-07
16.2,-7.541108848485578e-07
16.18,-7.69334262962218e-07
16.16,-7.84866782677085e-07
16.14,-8.007044471902702e-07
16.12,-8.16869905051476e-07
16.1,-8.333604362142921e-07
16.08,-8.501830350837736e-07
16.06,-8.673475271336883e-07
16.04,-8.848553001428172e-07
16.02,-9.027196212763045e-07
16.0,-9.20942155868687e-07
15.98,-9.395375033527387e-07
15.96,-9.5850749559645e-07
15.94,-9.778559628692562e-07
15.92,-9.97601834473727e-07
15.9,-1.0177407805400662e-06
15.879999999999999,-1.0382923409935074e-06
15.86,-1.0592545174326062e-06
15.84,-1.0806435191135222e-06
15.82,-1.102462399149573e-06
15.8,-1.1247230369271222e-06
15.780000000000001,-1.1474309280501416e-06
15.76,-1.170603780575874e-06
15.74,-1.1942378197460357e-06
15.719999999999999,-1.2183543618426995e-06
15.7,-1.2429527407320506e-06
15.68,-1.2680567706979673e-06
15.66,-1.2936592908019406e-06
15.64,-1.3197850035062686e-06
15.620000000000001,-1.3464360737458492e-06
15.6,-1.3736278781095734e-06
15.58,-1.4013664118017743e-06
15.559999999999999,-1.4296620554077322e-06
15.54,-1.4585372909436956e-06
15.52,-1.487991285742396e-06
15.5,-1.5180419699056813e-06
15.48,-1.548698613795807e-06
15.46,-1.5799728192433804e-06
15.44,-1.611883182484064e-06
15.42,-1.6444375305901815e-06
15.399999999999999,-1.6776441902344175e-06
15.379999999999999,-1.711529085124397e-06
15.36,-1.746092714860481e-06
15.34,-1.7813578390146745e-06
15.32,-1.81733539328377e-06
15.3,-1.8540369794983746e-06
15.280000000000001,-1.8914841914963176e-06
15.26,-1.929683302037688e-06
